Filière fr,corps,Grade fr,Catégorie,Indice,Corp ar,Filières ar,Grade ar
Administration générale,Administrateurs,Administrateur,12,537,,,
Administration générale,Administrateurs,Administrateur principal,14,621,,,
Administration générale,Administrateurs,Administrateur conseiller,16,713,,,
Administration générale,Attachés d’administration,Attaché d’administration,9,418,,,
Administration générale,Attachés d’administration,Attaché principal d’administration,10,453,,,
Administration générale,Agents d’administration,Agent de bureau,5,288,,,
Administration générale,Agents d’administration,Agent d’administration,7,348,,,
Administration générale,Agents d’administration,Agent principal d’administration,8,379,,,
Administration générale,Secrétaires,Agent de saisie,5,288,,,
Administration générale,Secrétaires,Secrétaire,6,315,,,
Administration générale,Secrétaires,Secrétaire de direction,8,379,,,
Administration générale,Secrétaires,Secrétaire principal de direction,10,453,,,
Administration générale,Comptables administratifs,Aide-comptable administratif,5,288,,,
Administration générale,Comptables administratifs,Comptable administratif,8,379,,,
Administration générale,Comptables administratifs,Comptable administratif principal,10,453,,,
Traduction-interprétariat,Traducteurs-interprètes,Traducteur-interprète,12,537,,,
Traduction-interprétariat,Traducteurs-interprètes,Traducteur-interprète principal,14,621,,,
Traduction-interprétariat,Traducteurs-interprètes,Traducteur-interprète en chef,16,713,,,
Informatique,Ingénieurs,Ingénieur d’application,11,498,,,
Informatique,Ingénieurs,Ingénieur d’état,13,578,,,
Informatique,Ingénieurs,Ingénieur principal,14,621,,,
Informatique,Ingénieurs,Ingénieur en chef,16,713,,,
Informatique,Techniciens,Technicien,8,379,,,
Informatique,Techniciens,Technicien supérieur,10,453,,,
Informatique,Adjoints techniques,Adjoint technique,7,348,,,
Informatique,Agents techniques,Agent technique,5,288,,,
Statistiques,Ingénieurs,Ingénieur d’application,11,498,,,
Statistiques,Ingénieurs,Ingénieur d’état,13,578,,,
Statistiques,Ingénieurs,Ingénieur principal,14,621,,,
Statistiques,Ingénieurs,Ingénieur en chef,16,713,,,
Statistiques,Techniciens,Technicien,8,379,,,
Statistiques,Techniciens,Technicien supérieur,10,453,,,
Statistiques,Adjoints techniques,Adjoint technique,7,348,,,
Statistiques,Agents techniques,Agent technique,5,288,,,
Documentation et archives,Documentalistes-archivisstes,Documentaliste-archiviste,12,537,,,
Documentation et archives,Documentalistes-archivisstes,Documentaliste-archiviste principal,14,621,,,
Documentation et archives,Documentalistes-archivisstes,Documentaliste-archiviste en chef,16,713,,,
Documentation et archives,Assistants documentalistes-archivistes,Assistant documentaliste-archiviste,10,453,,,
Documentation et archives,Agents techniques en documentation et archives,Agent technique en documentation,7,348,,,
Laboratoire et maintenance,Ingénieurs,Ingénieur d’application,11,498,,,
Laboratoire et maintenance,Ingénieurs,Ingénieur d’état,13,578,,,
Laboratoire et maintenance,Ingénieurs,Ingénieur principal,14,621,,,
Laboratoire et maintenance,Ingénieurs,Ingénieur en chef,16,713,,,
Laboratoire et maintenance,Techniciens,Technicien,8,379,,,
Laboratoire et maintenance,Techniciens,Technicien supérieur,10,453,,,
Laboratoire et maintenance,Adjoints techniques,Adjoint technique,7,348,,,
Laboratoire et maintenance,Agents techniques,Agent technique,5,288,,,
Laboratoire et maintenance,Agents,Agent de laboratoire,4,263,,,
,Analystes de l’economie,Analyste,12,537,,,
,Analystes de l’economie,Analyste principal,14,621,,,
,Analystes de l’économie,Analyste en chef,16,713,,,
Soins,Aides-soignants de santé publique,Aide-soignant de santé publique,8,379,,,
Soins,Aides-soignants de santé publique,Aide-soignant principal de santé publique,9,418,,,
Soins,Auxiliaires de puériculture de santé publique,Auxiliaire de puériculture de santé publique,8,379,,,
Soins,Auxiliaires de puériculture de santé publique,Auxiliaire de puériculture principal de santé publique,9,418,,,
